Site Folder,URL,Multimodal_Decision,Image Phish Score,Image_Decision,Text Phish Score,Text_Decision,Image Features,Text Features,Fused Features
tiffanybao.netlify.app,https://tiffanybao.netlify.app/#work,phishing,0.00,0,0.70,1,1.00|0.00|0.68|0.00|0.00|0.00|1.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|0.00|1.00|1.00|1.00|0.70,0.3636|0.0000|0.2456|0.0000|0.0000|0.0000|0.3636|0.1818|0.0012|0.0000|0.3636|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1280|0.1280|0.0000|0.1280|0.1280|0.1280|0.0896
tiffanybao.netlify.app,https://tiffanybao.netlify.app/#work,benign,0.00,0,0.00,0,1.00|0.00|0.68|0.00|0.00|0.00|1.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.3636|0.0000|0.2456|0.0000|0.0000|0.0000|0.3636|0.1818|0.0012|0.0000|0.3636|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
tiffanybao.netlify.app,https://tiffanybao.netlify.app/#work,phishing,0.00,0,0.70,1,1.00|0.00|0.68|0.00|0.00|0.00|1.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|0.00|1.00|1.00|1.00|0.70,0.3636|0.0000|0.2456|0.0000|0.0000|0.0000|0.3636|0.1818|0.0012|0.0000|0.3636|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1280|0.1280|0.0000|0.1280|0.1280|0.1280|0.0896
